seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,markov_order2,last_1,one_step_greedy_merge,0.6053362079804566,2,0.636519944437268,1.0,0.0
0,markov_order2,last_2,one_step_greedy_merge,0.43260470238230025,4,1.2423605407650895,1.0,0.0
0,markov_order2,last_3,one_step_greedy_merge,0.4325578143250096,4,1.2423639744695267,1.0,0.0
0,markov_order2,last_4,one_step_greedy_merge,0.4325630192837083,4,1.2423674081778342,1.0,0.0
0,markov_order2,last_5,one_step_greedy_merge,0.432591798911692,6,1.2917184118835783,0.9878057927172269,0.055376274372539405
1,markov_order2,last_1,one_step_greedy_merge,0.6004335348440668,2,0.6341992599415402,1.0,0.0
1,markov_order2,last_2,one_step_greedy_merge,0.4278558424870019,4,1.2368786545637864,1.0,0.0
1,markov_order2,last_3,one_step_greedy_merge,0.4278640053550635,4,1.2368751215430323,1.0,0.0
1,markov_order2,last_4,one_step_greedy_merge,0.4278947683818919,5,1.3038940758524593,0.9767867745867058,0.08350444692468618
1,markov_order2,last_5,one_step_greedy_merge,0.42795629157177406,8,1.3995966023777038,0.9481168043801642,0.18506578471688467
2,markov_order2,last_1,one_step_greedy_merge,0.6060251185263175,2,0.6351905036398409,1.0,0.0
2,markov_order2,last_2,one_step_greedy_merge,0.428323823240112,4,1.239142707479394,1.0,0.0
2,markov_order2,last_3,one_step_greedy_merge,0.4283290683250089,4,1.2391461573682019,1.0,0.0
2,markov_order2,last_4,one_step_greedy_merge,0.4283342963951869,4,1.239142661939567,1.0,0.0
2,markov_order2,last_5,one_step_greedy_merge,0.42837186218952555,8,1.3581901767080031,0.974624048401815,0.13407380682271083
3,markov_order2,last_1,one_step_greedy_merge,0.6046083913501807,2,0.6364159260561915,1.0,0.0
3,markov_order2,last_2,one_step_greedy_merge,0.4252560424293997,4,1.2423467660982783,1.0,0.0
3,markov_order2,last_3,one_step_greedy_merge,0.42526403922022576,4,1.2423433339211565,1.0,0.0
3,markov_order2,last_4,one_step_greedy_merge,0.42527206312410765,4,1.2423399015058694,1.0,0.0
3,markov_order2,last_5,one_step_greedy_merge,0.42526590657946245,8,1.349651622539895,0.9674487793292248,0.13344578865159637
4,markov_order2,last_1,one_step_greedy_merge,0.6009638049830255,2,0.635610716886903,1.0,0.0
4,markov_order2,last_2,one_step_greedy_merge,0.4316277235691518,4,1.2404587827141547,1.0,0.0
4,markov_order2,last_3,one_step_greedy_merge,0.4316329067794145,4,1.2404553072587177,1.0,0.0
4,markov_order2,last_4,one_step_greedy_merge,0.43163763883747314,5,1.3379077355376474,0.9952436013625425,0.022692446766645266
4,markov_order2,last_5,one_step_greedy_merge,0.4316673507259113,7,1.401771464440226,0.9403352625723465,0.1971268489414766
